;性別
0,オンナ,		;女である（非表記）
1,ふたなり,		;オトコでなくてもSEX系調教が可能。1なら天然。2なら後天的or原因あり
2,オトコ,		;男である
3,男の娘,		;男にも女にも見える魅力的な容姿で、男だというのに女性的な振る舞いも好みます
4,ロリババア,		;ロリババアです。小柄＆外見年齢1or2とセットにしてください
5,性反転,		;性転換するとONになる
6,妊娠可能,		;本来妊娠できない性別や種族でも妊娠できるようになる
7,未成熟,		;性的機能が未発達で受精と射精が発生しません
8,妊娠不能,		;本来妊娠できる性別や種族の人が出来なくなる。名称は値で変化可能

;性別関係の特に重要な素質
10,ペニス,		;ちんこの大きさ。0短小, 1並, 2巨根, 3馬並, 4腕並, 5規格外
11,包茎,		;ちんこの包茎具合。1で仮性包茎、2で真性包茎
12,乳首肥大,		;乳首が大きい。MAX3
13,陥没乳首,		;乳首が陥没してます。1で仮性、2で真性
14,巨乳輪,		;乳輪が大きい。MAX3
15,陰核肥大,		;巨クリ。MAX3
16,陰核包茎,		;陰核が皮で隠されています。基本的にはみんな仮性なので、真性か否か
17,乳房,		;おっぱいがあります。オトコ以外は当然ONです

20,処女,
21,妊娠,
22,出産経験
23,Ａ処女,		;アナルセックス未経験…判定が難しいので表記は無し
25,童貞,		;女性の膣にちんこを突っ込んだことがありません。尻の穴に突っ込んでも童貞のままですよ？
27,尿道処女,		;尿道セックス未経験…処女なのが当たり前なので表記は無し

;[体質]（本人の意思と関係なく、肉体の反応のみが影響するもの）
30,外見年齢,		;生きている年数とは無関係で、純粋に見た目が属する区分。あくまで目安だが、1は中学生以下、2は高校生、3は大学生、4は社会人で通じる見た目
31,小柄,		;PALAM:苦痛、恐怖が上がりやすい
32,長身,		;身長が高い
33,貧乳,		;ABL:Ｂ感覚が上げやすい。胸関連の調教にペナルティ
34,巨乳,		;ABL:Ｂ感覚が上げにくい。胸関連の調教にボーナス
35,小尻,		;お尻が小さい
36,巨尻,		;お尻が大きい
37,性器年齢,		;性器の外見が属する区分。設定しない場合は外見年齢と同じになる。ちなみに5は世にいうグロマンである


40,濡れやすい,		;PALAM:Ｖ潤が上がりやすい
41,濡れにくい,		;PALAM:Ｖ潤が上がりにくい
42,早漏,		;射精が早くなる
43,遅漏,		;射精ゲージが多くなる
44,射精量強化,		;射精ランクが上昇する
45,縦割れアナル,	;肛門が*ではなく｜状態になる。痛みに強い
46,汗かき,		;夏場以外でも汗をかく
47,筋肉質,		;腹筋や腕などに程よく筋肉がついてます
48,寒がり,		;冬場にコートなどを室内でも身につけたまま


;特筆すべき体質。特技と言ってもいいほどです
50,腸液分泌体質,	;なんと気持ちよくなるとお尻の穴が濡れてきます。PALAM:Ａ潤が上がりやすい
51,絶頂失禁体質,	;絶頂時に尿道が緩んでしまいます。
;52,潮噴き体質,		;絶頂した際に潮を噴きやすいです
53,発情体質,		;すぐに発情しちゃうエッチな体質です
54,母乳体質,		;妊娠していないのに母乳が出ます。1なら天然。2なら後天的or原因あり
55,嘔吐反射耐性,	;喉を犯されても平気です。オエっとなりません
56,吸精体質,		;相手の精を吸い取ることで活力に変えてしまう。無意識に行うこともあり
57,拡張適性,		;性器拡張がスムーズにできます


;とてもいい穴を持っています。子供にそのまま遺伝
60,Ｖ名器,		;生まれ持ってのＶ名器
61,Ａ名器,		;生まれ持ってのＡ名器
62,喉名器,		;生まれ持っての喉名器
63,尿道名器,		;生まれ持っての尿道名器

67,ジャストフィット,	;性器があなたのちんこにぴったりです。ビットで管理。0Ｖ, 1Ａ, 2尿道
;[損傷]性器などの損傷です。治るまでは無理できません。EXPの方で残り、完治しません。
